City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,55.72,72,4,5.19,light rain
1,Athabasca,CA,54.7169,-113.2854,39.02,34,18,6.67,few clouds
2,Nikolskoye,RU,59.7035,30.7861,42.87,93,0,7.99,clear sky
3,Katherine,AU,-14.4667,132.2667,102.52,24,0,10.36,clear sky
4,Rikitea,PF,-23.1203,-134.9692,73.18,71,86,17.85,light rain
5,Vaini,TO,-21.2,-175.2,75.36,88,75,13.8,broken clouds
6,Itarema,BR,-2.9248,-39.9167,78.87,82,10,16.31,clear sky
7,Axim,GH,4.8699,-2.2405,76.37,90,59,3.18,broken clouds
8,San Angelo,US,31.4638,-100.437,68.97,80,61,3.78,broken clouds
9,Hobart,AU,-42.8794,147.3294,63.01,85,75,1.01,light rain
10,Puerto Ayora,EC,-0.7393,-90.3518,69.22,84,73,11.52,broken clouds
11,Albany,US,42.6001,-73.9662,62.8,95,100,1.95,moderate rain
12,Kapaa,US,22.0752,-159.319,75.18,84,90,6.91,light rain
13,Stephenville,US,32.2207,-98.2023,70.14,77,1,0.0,clear sky
14,Berdigestyakh,RU,62.0989,126.6992,41.25,47,41,7.58,scattered clouds
15,Ola,RU,59.5833,151.2833,39.7,54,100,17.05,overcast clouds
16,Carnarvon,AU,-24.8667,113.6333,69.87,56,0,23.02,clear sky
17,Khatanga,RU,71.9667,102.5,25.09,94,100,17.96,light snow
18,Vrutky,SK,49.1133,18.9171,55.09,76,7,5.68,clear sky
19,Butaritari,KI,3.0707,172.7902,82.89,69,7,16.26,clear sky
20,Jamestown,US,42.097,-79.2353,67.32,98,90,5.01,overcast clouds
21,Lilongwe,MW,-13.9669,33.7873,71.8,83,0,5.75,clear sky
22,Kavaratti,IN,10.5669,72.642,82.06,78,95,9.93,overcast clouds
23,Katsuura,JP,35.1333,140.3,80.71,69,1,10.45,clear sky
24,Hermanus,ZA,-34.4187,19.2345,53.91,79,9,10.27,clear sky
25,Mareeba,AU,-17.0,145.4333,95.43,46,12,9.33,few clouds
26,Novobelokatay,RU,55.7062,58.9549,33.49,65,18,7.78,few clouds
27,Ushuaia,AR,-54.8,-68.3,37.06,81,75,18.41,light intensity drizzle
28,Bandarbeyla,SO,9.4942,50.8122,83.05,68,44,22.24,scattered clouds
29,Kiruna,SE,67.8557,20.2251,47.32,93,90,19.57,overcast clouds
30,Badarpur,IN,24.9,92.6,78.85,92,100,1.16,overcast clouds
31,Erzin,TR,36.9559,36.2,68.0,41,0,4.79,clear sky
32,Bereda,ES,43.2686,-7.5406,53.42,99,100,4.21,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,52.48,83,100,11.79,overcast clouds
34,Aklavik,CA,68.2191,-135.0107,32.83,96,100,14.18,light snow
35,Faanui,PF,-16.4833,-151.75,78.67,72,13,10.67,few clouds
36,Narsaq,GL,60.9167,-46.05,34.12,63,7,2.84,clear sky
37,Zhezkazgan,KZ,47.8043,67.7144,44.53,57,27,10.45,scattered clouds
38,Mar Del Plata,AR,-38.0023,-57.5575,45.12,66,0,3.0,clear sky
39,Maceio,BR,-9.6658,-35.7353,74.64,94,0,2.3,clear sky
40,Linares,CL,-35.85,-71.6,40.8,89,0,3.91,clear sky
41,Babati,TZ,-4.2167,35.75,68.59,59,97,2.24,overcast clouds
42,Ganjam,IN,19.3833,85.0667,86.7,71,79,5.37,broken clouds
43,Georgetown,MY,5.4112,100.3354,89.55,70,20,7.0,few clouds
44,Mahebourg,MU,-20.4081,57.7,75.25,88,40,3.44,light rain
45,New Norfolk,AU,-42.7826,147.0587,62.65,78,86,4.34,overcast clouds
46,Akureyri,IS,65.6835,-18.0878,39.13,87,90,19.57,overcast clouds
47,Honiara,SB,-9.4333,159.95,82.69,82,80,3.33,heavy intensity rain
48,Busselton,AU,-33.65,115.3333,61.05,73,82,19.1,broken clouds
49,Kuching,MY,1.55,110.3333,91.62,55,20,4.61,few clouds
50,Arraial Do Cabo,BR,-22.9661,-42.0278,70.5,97,100,4.97,light rain
